Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,22.1767807006836,21.7505397796631,20.6340808868408,21.8776302337646,19.6179790496826,23.201379776001,21.8537502288818,,,,,
Africa Eastern and Southern,17.548059463501,17.0224695205689,17.315450668335,17.2432594299316,18.0970993041992,16.9629096984863,17.1988105773926,17.1507606506348,17.3067045211792,15.3527202606201,14.5640897750854,13.6582899093628
Afghanistan,17.0675601959229,16.0484294891357,14.6199998855591,14.1028003692627,14.4659299850464,12.5089998245239,13.0909996032715,12.0332002639771,11.6960601806641,11.3437700271606,10.2538604736328,10.8801097869873
Africa Western and Central,17.0575704574585,14.563539981842,14.3328800201416,14.963604927063,12.9398798942566,13.121994972229,12.8548803329468,16.0584392547607,16.1141948699952,14.1593904495239,14.3399848937988,14.9346299171448
Angola,8.68476963043213,8.9399995803833,8.37042999267578,8.82697010040283,6.16283988952637,8.91878032684326,6.55097007751465,6.76378011703491,5.41023015975952,6.04536008834839,6.46722984313965,6.91961002349854
Albania,11.4857339859009,12.8400001525879,13.6099996566772,12.1239099502563,12.7399997711182,11.1775503158569,13.596960067749,12.3908004760742,10.9706964492798,13.4300003051758,12.0699996948242,
Andorra,,,,6.19552993774414,13.3152103424072,10.4428100585938,9.99098014831543,9.39243984222412,13.4619197845459,10.8952398300171,8.99186992645264,10.2600002288818
Arab World,12.7281746864318,11.3567366600037,10.7288789749146,11.4054298400879,11.4975643157959,10.4271550178528,11.4499998092651,11.1960496902466,12.2261047363281,12.0305099487305,11.912670135498,
United Arab Emirates,,6.474684715271,5.302161693573,5.54267072677612,5.48955917358398,6.06917762756348,5.15527582168579,5.50105953216553,5.36474275588989,12.6788196563721,11.7062301635742,
Argentina,15.0479698181152,15.1585597991943,14.5182600021362,14.4579296112061,13.7993297576904,13.9633102416992,13.3555402755737,13.2639198303223,12.5233402252197,12.5300703048706,11.9168996810913,
Armenia,12.4005098342896,12.5933399200439,12.3689699172974,11.1367597579956,9.36711978912354,10.6563596725464,10.1971998214722,10.4031295776367,8.98857975006104,10.0100002288818,8.82777976989746,8.27808952331543
American Samoa,,,,,,,,,,,,
Antigua and Barbuda,,,10.143256187439,10.7302341461182,9.85048580169678,7.7613525390625,6.76265001296997,7.39179992675781,7.23061990737915,8.54749011993408,8.94178009033203,9.90322971343994
Australia,14.3240003585815,13.4849996566772,13.1744003295898,14.0413904190063,13.8837900161743,14.085789680481,13.8043899536133,13.6023597717285,13.4772901535034,12.8453502655029,14.4300003051758,
Austria,10.7891302108765,10.9884901046753,10.7011804580688,10.7402896881104,10.4111604690552,10.6934795379639,10.9436302185059,10.8959798812866,10.7194204330444,10.7336597442627,8.89000034332275,
Azerbaijan,8.70083999633789,7.2198600769043,5.64367008209229,6.46412992477417,7.23872995376587,7.63110017776489,8.19999980926514,6.97016000747681,7.40912008285522,8.29069042205811,10.5025300979614,11.4832201004028
Burundi,16.5881004333496,14.9792995452881,16.4283199310303,17.2432594299316,23.8400001525879,27.4972400665283,20.784610748291,19.7648506164551,19.5192604064941,21.2221698760986,20.7419490814209,20.4385395050049
Belgium,11.9576501846313,11.6301403045654,11.0699214935303,11.8156795501709,11.8534097671509,12.0096797943115,12.1649503707886,12.3488998413086,12.2154998779297,12.2305097579956,11.1899995803833,
Benin,26.1439609527588,20.9563007354736,25.0213108062744,22.3412208557129,22.227710723877,17.4795207977295,18.7914009094238,19.8796501159668,17.7091808319092,,,
Burkina Faso,16.1728191375732,19.5006103515625,15.8953800201416,16.1652793884277,19.3681106567383,18.0270805358887,,21.4440002441406,22.661169052124,20.8894500732422,21.1117172241211,21.561954498291
Bangladesh,21,16.7939701080322,12.277943611145,11.8120946884155,13.3063278198242,12.0441026687622,13.9817361831665,13.8549823760986,11.9579200744629,11.3293676376343,10.3874378204346,10.221302986145
Bulgaria,11.1634197235107,11.1000499725342,10.6909198760986,11.4398002624512,9.42749786376953,9.70858001708984,9.73177337646484,12.7309503555298,11.7900295257568,11.7067098617554,9.55000019073486,
Bahrain,11.6999998092651,11.3999996185303,8.17982959747314,7.45860004425049,8.6840295791626,7.32818984985352,9.85000038146973,10.789999961853,9.89000034332275,8.48999977111816,9.36690330505371,9.08058261871338
"Bahamas, The",16.6100006103516,14.5200004577637,14.2200002670288,14.9399995803833,14.1599998474121,11.8315200805664,11.8747301101685,10.5860795974731,11.436710357666,11.2622804641724,11.2430200576782,10.1294498443604
Bosnia and Herzegovina,,,,,,,,,,,,
Belarus,11.7781295776367,11.6266498565674,12.7523002624512,12.2739896774292,12.406720161438,11.4617300033569,12.1587800979614,12.2816896438599,13.2640399932861,13.3307399749756,12.7811498641968,16.5380401611328
Belize,22.7557792663574,,,22.1886196136475,22.110710144043,21.5519199371338,20.5020198822021,21.6585102081299,22.1137504577637,22.2020206451416,21.5209808349609,22.1747493743896
Bermuda,12.9342403411865,,,,7.79644012451172,9.01879978179932,10.9283113479614,7.77346992492676,11.838062286377,12.4423589706421,12.2863397598267,13.2497959136963
Bolivia,18.2000007629395,15.8000001907349,17.4599990844727,15.6899995803833,15.0699996948242,16.3400001525879,17.6399993896484,18.0200004577637,19.0100002288818,13.5200004577637,14.1999998092651,10.4091358184814
Brazil,14.1598596572876,15.2690000534058,15.7277803421021,15.5927095413208,15.4438400268555,16.2181091308594,15.9288301467896,16.5049095153809,16.1483592987061,15.958080291748,,
Barbados,18.0963306427002,,16.7026901245117,14.844820022583,17.4510593414307,18.5185508728027,13.3624496459961,12.879150390625,16.358570098877,10.7784900665283,11.4934902191162,16.5802001953125
